180.00 	212.40 	212.40 
181.00 	212.37 	212.37 
182.00 	212.28 	212.28 
183.00 	212.12 	212.12 
184.00 	211.90 	211.90 
185.00 	211.62 	211.62 
186.00 	211.27 	211.27 
187.00 	210.86 	210.86 
188.00 	210.38 	210.38 
189.00 	209.84 	209.84 
190.00 	209.23 	209.23 
191.00 	208.56 	208.56 
192.00 	207.83 	207.83 
193.00 	207.03 	207.03 
194.00 	206.17 	206.17 
195.00 	205.25 	205.25 
196.00 	204.27 	204.27 
197.00 	203.22 	203.22 
198.00 	202.11 	202.11 
199.00 	200.94 	200.94 
200.00 	199.71 	199.71 
201.00 	198.42 	198.42 
202.00 	197.06 	197.06 
203.00 	195.65 	195.65 
204.00 	194.18 	194.18 
205.00 	192.64 	192.64 
206.00 	191.05 	191.05 
207.00 	189.41 	189.41 
208.00 	187.70 	187.70 
209.00 	185.94 	185.94 
210.00 	184.12 	184.12 
211.00 	182.24 	182.24 
212.00 	180.31 	180.31 
213.00 	178.32 	178.32 
214.00 	176.28 	176.28 
215.00 	174.19 	174.19 
216.00 	172.04 	172.04 
217.00 	169.84 	169.84 
218.00 	167.59 	167.59 
219.00 	165.28 	165.28 
220.00 	162.93 	162.93 
221.00 	160.53 	160.53 
222.00 	158.07 	158.07 
223.00 	155.57 	155.57 
224.00 	153.03 	153.03 
225.00 	150.43 	150.43 
226.00 	147.79 	147.79 
227.00 	145.11 	145.11 
228.00 	142.38 	142.38 
229.00 	139.61 	139.61 
230.00 	136.79 	136.79 
231.00 	133.94 	133.94 
232.00 	131.04 	131.04 
233.00 	128.10 	128.10 
234.00 	125.13 	125.13 
235.00 	122.11 	122.11 
236.00 	119.06 	119.06 
237.00 	115.97 	115.97 
238.00 	112.85 	112.85 
239.00 	109.69 	109.69 
240.00 	106.50 	106.50 
241.00 	103.28 	103.28 
242.00 	100.02 	100.02 
243.00 	96.74 	96.74 
244.00 	93.42 	93.42 
245.00 	90.08 	90.08 
246.00 	86.71 	86.71 
247.00 	83.31 	83.31 
248.00 	79.89 	79.89 
249.00 	76.44 	76.44 
